
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  95,985 reads (266,170,963 bp)
  96,143 reads (266,654,828 bp)
  96,309 reads (267,149,119 bp)
  96,468 reads (267,643,507 bp)
  96,656 reads (268,127,884 bp)
  96,832 reads (268,611,871 bp)
  97,065 reads (269,105,247 bp)
  97,234 reads (269,591,487 bp)
  97,391 reads (270,078,907 bp)
  97,581 reads (270,565,853 bp)
  97,769 reads (271,050,513 bp)
  97,922 reads (271,536,190 bp)
  98,098 reads (272,020,510 bp)
  98,258 reads (272,517,082 bp)
  98,430 reads (273,003,772 bp)
  98,608 reads (273,489,598 bp)
  98,772 reads (273,978,493 bp)
  98,932 reads (274,462,821 bp)
  99,125 reads (274,947,726 bp)
  99,314 reads (275,435,358 bp)
  99,472 reads (275,919,402 bp)
  99,641 reads (276,404,002 bp)
  99,818 reads (276,892,055 bp)
  99,991 reads (277,383,041 bp)
  100,176 reads (277,871,389 bp)
  100,363 reads (278,364,930 bp)
  100,507 reads (278,848,872 bp)
  100,642 reads (279,348,729 bp)
  100,780 reads (279,835,382 bp)
  100,936 reads (280,320,298 bp)
  101,138 reads (280,813,080 bp)
  101,296 reads (281,301,287 bp)
  101,454 reads (281,786,128 bp)
  101,609 reads (282,270,365 bp)
  101,771 reads (282,758,988 bp)
  101,946 reads (283,243,058 bp)
  102,104 reads (283,726,937 bp)
  102,256 reads (284,211,359 bp)
  102,428 reads (284,696,724 bp)
  102,605 reads (285,185,380 bp)
  102,774 reads (285,676,945 bp)
  102,963 reads (286,161,255 bp)
  103,124 reads (286,645,325 bp)
  103,285 reads (287,138,712 bp)
  103,473 reads (287,624,206 bp)
  103,626 reads (288,108,489 bp)
  103,759 reads (288,592,325 bp)
  103,935 reads (289,083,879 bp)
  104,091 reads (289,567,764 bp)
  104,257 reads (290,052,105 bp)
  104,432 reads (290,536,053 bp)
  104,584 reads (291,033,978 bp)
  104,751 reads (291,521,172 bp)
  104,894 reads (292,007,813 bp)
  105,062 reads (292,494,255 bp)
  105,215 reads (292,978,233 bp)
  105,363 reads (293,464,622 bp)
  105,534 reads (293,960,738 bp)
  105,689 reads (294,444,777 bp)
  105,874 reads (294,931,618 bp)
  106,056 reads (295,416,608 bp)
  106,182 reads (295,900,520 bp)
  106,351 reads (296,384,670 bp)
  106,512 reads (296,868,895 bp)
  106,663 reads (297,357,842 bp)
  106,823 reads (297,841,530 bp)
  106,998 reads (298,325,640 bp)
  107,169 reads (298,817,310 bp)
  107,314 reads (299,302,280 bp)
  107,455 reads (299,788,079 bp)
  107,623 reads (300,277,123 bp)
  107,780 reads (300,762,394 bp)
  107,939 reads (301,246,279 bp)
  108,115 reads (301,734,067 bp)
  108,309 reads (302,220,157 bp)
  108,474 reads (302,708,138 bp)
  108,646 reads (303,192,350 bp)
  108,793 reads (303,684,771 bp)
  108,949 reads (304,173,952 bp)
  109,091 reads (304,658,129 bp)
  109,291 reads (305,142,169 bp)
  109,430 reads (305,645,957 bp)
  109,579 reads (306,129,652 bp)
  109,752 reads (306,615,705 bp)
  109,910 reads (307,103,319 bp)
  110,085 reads (307,602,123 bp)
  110,233 reads (308,088,975 bp)
  110,391 reads (308,585,436 bp)
  110,554 reads (309,070,311 bp)
  110,715 reads (309,555,506 bp)
  110,879 reads (310,039,340 bp)
  111,051 reads (310,525,206 bp)
  111,224 reads (311,013,584 bp)
  111,391 reads (311,500,698 bp)
  111,568 reads (311,986,724 bp)
  111,725 reads (312,471,147 bp)
  111,892 reads (312,955,454 bp)
  112,027 reads (313,442,757 bp)
  112,165 reads (313,927,115 bp)
  112,319 reads (314,412,023 bp)
  112,505 reads (314,896,368 bp)
  112,649 reads (315,385,076 bp)
  112,823 reads (315,870,600 bp)
  112,994 reads (316,354,785 bp)
  113,168 reads (316,838,978 bp)
  113,330 reads (317,328,157 bp)
  113,502 reads (317,813,261 bp)
  113,647 reads (318,303,311 bp)
  113,794 reads (318,791,882 bp)
  113,974 reads (319,276,513 bp)
  114,159 reads (319,760,816 bp)
  114,302 reads (320,248,390 bp)
  114,432 reads (320,732,279 bp)
  114,587 reads (321,222,013 bp)
  114,747 reads (321,707,109 bp)
  114,907 reads (322,193,017 bp)
  115,049 reads (322,682,200 bp)
  115,239 reads (323,165,883 bp)
  115,415 reads (323,649,584 bp)
  115,570 reads (324,140,740 bp)
  115,756 reads (324,628,856 bp)
  115,932 reads (325,113,269 bp)
  116,089 reads (325,598,016 bp)
  116,255 reads (326,083,393 bp)
  116,424 reads (326,570,061 bp)
  116,595 reads (327,058,533 bp)
  116,773 reads (327,544,424 bp)
  116,900 reads (328,037,497 bp)
  117,078 reads (328,525,518 bp)
  117,240 reads (329,012,643 bp)
  117,415 reads (329,497,617 bp)
  117,569 reads (329,982,257 bp)
  117,728 reads (330,477,335 bp)
