
Scoring long reads

  213 reads (485,345 bp)
  417 reads (972,241 bp)
  583 reads (1,462,064 bp)
  732 reads (1,946,198 bp)
  868 reads (2,431,285 bp)
  1,001 reads (2,926,051 bp)
  1,139 reads (3,410,595 bp)
  79,832 reads (297,710,804 bp)
  79,952 reads (298,198,084 bp)
  80,083 reads (298,684,214 bp)
  80,191 reads (299,172,884 bp)
  80,323 reads (299,666,321 bp)
  80,465 reads (300,150,969 bp)
  80,582 reads (300,634,799 bp)
  80,711 reads (301,123,269 bp)
  80,840 reads (301,607,601 bp)
  80,958 reads (302,102,687 bp)
  81,090 reads (302,586,797 bp)
  81,236 reads (303,075,274 bp)
  81,358 reads (303,560,217 bp)
  81,459 reads (304,050,514 bp)
  81,567 reads (304,553,238 bp)
  81,707 reads (305,037,026 bp)
  81,828 reads (305,520,813 bp)
  81,945 reads (306,005,160 bp)
  82,086 reads (306,505,136 bp)
  82,215 reads (306,989,109 bp)
  82,340 reads (307,473,359 bp)
  82,472 reads (307,959,072 bp)
  82,611 reads (308,447,930 bp)
  82,746 reads (308,935,502 bp)
  82,870 reads (309,419,630 bp)
  83,003 reads (309,904,257 bp)
  83,121 reads (310,388,003 bp)
  83,253 reads (310,872,454 bp)
  83,362 reads (311,362,401 bp)
  83,498 reads (311,848,143 bp)
  83,638 reads (312,332,405 bp)
  83,764 reads (312,817,329 bp)
  83,888 reads (313,303,679 bp)
  84,012 reads (313,791,926 bp)
  84,109 reads (314,275,939 bp)
  84,255 reads (314,765,022 bp)
  84,387 reads (315,249,257 bp)
  84,518 reads (315,734,971 bp)
  84,635 reads (316,224,135 bp)
  84,765 reads (316,708,328 bp)
  84,882 reads (317,195,789 bp)
  85,008 reads (317,680,989 bp)
  85,141 reads (318,165,105 bp)
  85,263 reads (318,651,168 bp)
  85,404 reads (319,137,200 bp)
  85,537 reads (319,623,064 bp)
  85,667 reads (320,108,843 bp)
  85,787 reads (320,593,576 bp)
  85,880 reads (321,077,213 bp)
  85,977 reads (321,561,950 bp)
  86,159 reads (322,045,972 bp)
  86,328 reads (322,534,512 bp)
  86,527 reads (323,021,514 bp)
  86,687 reads (323,505,190 bp)
